LOC,Business,Phone,Address,Town,Website,Instagram,Facebook,Category,SuperCat,DL Info,HDL?,Shoppers Discount,Exp.,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87S,Vision Decision,516-255-2020,40 Atlantic Ave.,Oceanside,,,facebook.com/visiondecision,Thrive & Be Well,Thrive & Be Well,"Expert eye exams, contact lens fittings, and stylish frames- all in a fun and friendly office where your vision is a priority. Most insurances accepted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88T,"Reddy Care Physical, Occupational & Aquatic Therapy",516-992-2282,2421 S. Long Beach Rd.,Oceanside,ReddyCare.net,,,Thrive & Be Well,Thrive & Be Well,"Providing personalized, one-on-one physical and occupational therapy focused on lasting results, improved mobility, and helping patients regain strength and independence close to home.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89S,State Farm,516-208-4451,566 Merrick Rd.,Rockville Centre,,,,Live & Work,Live & Work,"Our bi-lingual English & Spanish team are local to RVC. Free quotes on auto, homeowners, renters, term/whole/universal life as well as health insurance and personal liability & umbrella policies. Stop by or call!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90S,Nat's Unisex Haircutter,516-763-3077,532 Merrick Rd.,Rockville Centre,,,,Thrive & Be Well,Thrive & Be Well,"Mens styling and detail cuts. Womens high and low cuts, perms, and coloring. All kinds of hair systems service, supplies, and private studio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91T,Gary Nadler DDS P.C.,516-763-5683,129 Davison Ave.,Oceanside,,,,Thrive & Be Well,Thrive & Be Well,Providing all aspects of general and cosmetic dentistry for your entire family.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92S,Marino Goetz & Assoc.,516-536-7639,433 Merrick Rd.,Oceanside,JohnJMarinoTaxes.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Serving Long Island with income tax preparation and bookkeeping, offering free consultations and personalized service year round for individuals and businesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93D,PJ Diagnostics,917-770-2440,3021 Lawson Blvd.,Oceanside,PJDiagnostics.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Mobile & in-shop automotive experts specializing in ADAS calibrations, diagnostics, electrical issues, coding, and key programming. Serving Oceanside and surrounding areas with precision and care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94S,All American Deli,516-600-9360,161 Woods Ave.,Oceanside,AllAmericanDelis.com,instagram.com/,facebook.com/allamericandeli,Shop & Discover,Shop & Discover,"All American Deli – Authentic. Local. All American. Oceanside’s go-to spot for stacked sandwiches, sizzling breakfast, and friendly hometown service. Come taste what everyone’s talking about!",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95S,Professional Physical Therapy,516-549-5070,2837 Long Beach Rd.,Oceanside,ProfessionalPT.com,,,Thrive & Be Well,Thrive & Be Well,"Our physical therapists create personalized plans to restore mobility, strength, and wellness, helping you recover quickly and return to the activities you love.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96D,Frasada Salon & Day Spa,516-766-7076,2785 Long Beach Rd.,Oceanside,Frasada.com,instagram.com/,facebook.com/,Thrive & Be Well,Thrive & Be Well,"Created to provide a haven from your busy lifestyle. A place to discover the inner you, restore your well-being and pamper yourself in every way.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97T,1-888-Dumpster.com,1-888-DUMPSTER,495 New St.,Oceanside,1888Dumpster.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Competitively priced and reliable dumpster rental services. Our expert team ensures a seamless and friendly experience from start to finish, with a focus on exceptional customer service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98D,D-Best Carting,516-345-2611,495 New St.,Oceanside,DBestCarting.com,instagram.com/,facebook.com/,Live & Work,Live & Work,We are a family owned and operated dumpster rental company for over 20 years. We stand behind our services 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D,Crows Nest Marina,516-766-2020,495 New St.,Oceanside,CrowsNestMarina.com,,,Live & Work,Live & Work,Crows Nest Marina is a full service marina including winter and summer storage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100D,Earth Tech Recycling,516-408-4661,1800 Access Rd.,Oceanside,EarthTechRecycling.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"We offer comprehensive recycling solutions for contractors. Bring your concrete, dirt, asphalt, and brick to our Oceanside facility for eco-friendly disposal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101S,Eleven Salon,516-536-1107,7 W. Davison Ave.,Oceanside,,,,Thrive & Be Well,Thrive & Be Well,Boutique salon serving customers since 2009. Cut and color and chemical services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102S,Jakari J Salon,516-517-8228,2945 Long Beach Rd.,Oceanside,JakariJSalon.com,instagram.com/jakarijsalon,facebook.com/,Thrive & Be Well,Thrive & Be Well,"Slayed hair doesn't happen by chance... it happens by appointment. From natural hair and curly hair, to weaves and customized conditioning treatments, and silk presses and relaxers, we do it all. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103D,Advantage Toyota,516-867-8600,400 Sunrise Hwy.,Valley Stream,AdvantageToyotaNY.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"Advantage Toyota is committed to delivering exceptional customer service, great deals, and a stress-free car buying experience. Discover quality new and pre-owned vehicles in Oceanside today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104T,PIP Printing,516-536-3600,2915 Long Beach Rd.,Oceanside,PIP.com/OceansideNY268,instagram.com/,facebook.com/,Live & Work,Live & Work,"We Do: Print, Copy, Graphic Design, Signs, Promotional Items, Labels, Business Cards, Letterheads, Envelopes, Mailings, Forms, Banners, Invitations, Postcards, Tablecloths, Brochures, Journals, everything you need! ",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105D,Captain Mike’s Seafood & Lobster Co.,516-678-4522,3388 Long Beach Rd.,Oceanside,,,,Shop & Discover,Shop & Discover,"The freshest seafood on Long Island! From a family of three generations of commercial fishermen, we’re proudly family owned and operated. We offer raw, cooked, and catered seafood for every occasion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106T,Impressive Auto Body,516-536-1222,3305 Lawson Blvd.,Oceanside,instagram.com/impressiveautobody/,instagram.com/impressiveautobody/,,Live & Work,Live & Work,We have proudly served our community for over 25 years. Delivering expert collision repairs and professional customer service. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107T,Pristine Motors,347-860-4630,3540 Lawson Blvd.,Oceanside,instagram.com/PristineMotors_NY,,,Shop & Discover,Shop & Discover,"Over 30 years of excellence. Experts in European vehicles and all makes, offering maintenance, bodywork, electrical, ADAS, and trusted professional service. Your trusted neighborhood mechanic! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108D,Eben-Ezer Restaurant,516-226-3107,230c Atlantic Ave.,Oceanside,EbenEzerRestaurant.org,instagram.com/,facebook.com/,Eat & Drink,Eat & Drink,"Traditional Salvadoran cuisine - comida Salvadorena / Centroamericana. Authentic farm to table home style cooking. Try our horchata, pupusas and much more!",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109T,Mercedes Benz of Rockville Centre,516-766-6900,650 Sunrise Hwy.,Rockville Centre,MBRVC.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"The first Mercedes-Benz dealership on Long Island, we believe in a no-haggle, transparent sales process.  It's our goal to make your car-buying or -servicing experience as smooth and easy as possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110D,Billie Rose Salon,516-615-6036,3203 Lawson Blvd.,Oceanside,BillieRoseSalon.GlossGenius.com,instagram.com/,facebook.com/,Thrive & Be Well,Thrive & Be Well,"Billie Rose Salon specializes in blonding, custom color, precision cuts and hand-tied extensions. We create effortless, modern styles that enhance confidence, individuality and everyday beauty. ",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111S,"Victoria S. Kaplan, P.C.",516-678-4055,2901 Long Beach Rd.,Oceanside,,,,Live & Work,Live & Work,"Experienced local real estate attorney with 30+ years handling purchases, sales, homes, co-ops, and condos throughout Long Island and NYC. Focused solely on real estate law.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112T,Pat's Dance Studio,516-546-2984,961 Church St.,Baldwin,PatsDanceStudio.com,instagram.com/patsdancestudio,facebook.com/patsdancestudio,Learn & Play,Learn & Play,"A performance based studio since 1979. Our studio is our HOME, where you're not judged and are loved for who you are. Come join our dance family!",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113T,Higher Elevation Home Inspections,516-509-9091,,Oceanside,HigherElevationLLC.com,instagram.com/,facebook.com/,Live & Work,Live & Work,A family-owned and operated business servicing Long Island and the 5 boroughs for over 25 years. Free termite inspection with all home inspections. ,Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114D,The Christian Barbershop,516-442-0074,2864 Woods Ave.,Oceanside,TheChristianBarberShop.com,,,Thrive & Be Well,Thrive & Be Well,"The Christian Barber Shop delivers precision fades, expert beard grooming, and hot towel shaves in Oceanside. Family friendly, faith driven service with fair prices and convenient online booking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115T,Luxury Auto Body,516-460-8666,3943 Austin Blvd.,Island Park,LuxuryAutoBodyNY.com,instagram.com/luxury_autobody/,,Live & Work,Live & Work,Long Island's premier auto body shop. Walk in auto claims center. All insurance companies accepted. ,Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116D,Oceanside Dance Center,516-766-9458,3394 Long Beach Rd.,Oceanside,OceansideDanceCenter.com,instagram.com/,facebook.com/,Learn & Play,Learn & Play,"Serving Oceanside for the past 20 years, we provide top notch dance training in a family friendly atmosphere. Not just a dance studio - a second home to many of our young dancers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117T,Meds on Time Pharmacy,516-208-7332,3147 Lawson Blvd.,Oceanside,MedsOnTimeRX.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"At Meds On Time Pharmacy in Oceanside, we deliver expert, friendly care—with same-day prescription services, home delivery and personalized consultations in a community-focused independent shop.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118D,Summit Home Improvement,516-426-7352,2511 S. Long Beach Rd.,Oceanside,SummitHomeImp.com,instagram.com/,facebook.com/,Live & Work,Live & Work,Covering all phases of remodeling and updating services: kitchens and bathrooms - flooring - painting - new rooms - roofing/siding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119D,St. Anthony’s Catholic Church,516-764-0048,110 Anchor Ave.,Oceanside,SACLI.org,instagram.com/,facebook.com/,Gather & Connect,Gather & Connect,"Through our worship, our ministries and our promotion of peace and justice,
we walk with Jesus of the Gospel who reveals God’s love for all. 
Mass Sunday: 8, 9:30, 12:30 (Spanish), 5; M-F: 9, 12; Saturday: 9, 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120D,St. Anthony’s Pre-School,516-764-0048,110 Anchor Ave.,Oceanside,SACLI.org/pre-k,instagram.com/,facebook.com/,Learn & Play,Learn & Play,"The early childhood program offers time and space for your children to play, explore and imagine. It is designed to lead them from wonder to discovery and from investigation to affirmation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121D,Leach Woodworks,516-536-3460,2497 S. Long Beach Rd.,Oceanside,,instagram.com/leachwoodworks,,Live & Work,Live & Work,"Custom quality cabinets, countertops, built-ins, renovations & more!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122S,Empire Nutrition,516-705-5160,2806 Long Beach Rd.,Oceanside,EmpireNutrition.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"We offer everything from fresh-healthy meal prep, quality supplements, to smoothies, juices and healthy snacks. We cater to everyone, in their fitness or wellness journey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123D,Tintz by Savage,347-553-1243,3205 Lawson Blvd.,Oceanside,TintzandWrapzbySavage.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"From automotive window tinting, vinyl wraps, paint protection film (PPF), and paint correction, to full interior and exterior detailing, we bring top-tier craftsmanship to every vehicle we touch. Commercial and residential solutions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124D,Dance Innovations,516-764-0513,177 Merrick Rd.,Oceanside,DanceInnovationsInc.com,instagram.com/,facebook.com/,Learn & Play,Learn & Play,Come Join our DI Family! We have been teaching Oceanside to dance for 24 years! We offer classes in all styles and levels for ages 2 thru adult. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125S,DG Equipment Repair & Services,516-350-8898,,Oceanside,,,,Live & Work,Live & Work,"Delivering fast, reliable mobile service for power equipment and heavy machinery, supporting both commercial and homeowner needs with expert on-site repairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126T,Macken Mortuary,516-431-7800,3930 Long Beach Rd.,Island Park,MackenMortuary.com,instagram.com/,facebook.com/,Live & Work,Live & Work,"Serving families with dignity, respect, and compassion. We help you celebrate your loved one no matter your religion, culture, or budget. Family owned & operated over 100 years.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127D,"Oceanside Iron & Steel Supply, Inc.",516-536-4940,3421 Hampton Rd.,Oceanside,OceansideDockHardware.com,instagram.com/,facebook.com/,Live & Work,Live & Work,Dock hardware experts for over the last 40 years. A family run business that takes pride in supplying the highest quality products for your dock hardware needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128T,NY Neurology Associates,516-766-8900,2965 Long Beach Rd. Suite 200,Oceanside,NYNeurologists.com,,,Thrive & Be Well,Thrive & Be Well,From migraines and ADHD to Parkinson’s and pain management — including advanced treatments like Deep Brain Stimulation and Botox for migraine. Same-day appointments available!,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129T,"Bleiberg Plumbing Supplies, Inc.",516-678-1838,3057 Lawson Blvd.,Oceanside,BleibergPS.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"Homeowners, contractors, plumbers, designers, and architects have relied on us for all of their residential and commercial supplies for nearly a century. On time deliveries and an unlimited knowledge base.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130D,Incredible Feets,516-596-0100,3541 Long Beach Rd.,Oceanside,IncredibleFeets.com,instagram.com/,facebook.com/,Shop & Discover,Shop & Discover,"Footwear, clothing, and sporting goods for the entire family since 1976. We measure and fit every customer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
